sample	drug_raw	drug	dose	exp	run	replicate	condition	is_control	is_timezero
Temps01_000u_exp010821_run180821_01	Temps01	Temps0	000u	exp010821	run180821	1	time0	False	True
Temps02_000u_exp010821_run180821_02	Temps02	Temps0	000u	exp010821	run180821	2	time0	False	True
Contro1_000u_exp010821_run180821_03	Contro1	Contro	000u	exp010821	run180821	1	control	True	False
Contro2_000u_exp010821_run180821_04	Contro2	Contro	000u	exp010821	run180821	2	control	True	False
Contro3_000u_exp010821_run180821_05	Contro3	Contro	000u	exp010821	run180821	3	control	True	False
Contro4_000u_exp010821_run180821_06	Contro4	Contro	000u	exp010821	run180821	4	control	True	False
Osimer1_100n_exp010821_run180821_07	Osimer1	Osimer	100n	exp010821	run180821	1	Osimer_100n	False	False
Osimer2_100n_exp010821_run180821_08	Osimer2	Osimer	100n	exp010821	run180821	2	Osimer_100n	False	False
Osimer3_100n_exp010821_run180821_09	Osimer3	Osimer	100n	exp010821	run180821	3	Osimer_100n	False	False
Osimer4_100n_exp010821_run180821_10	Osimer4	Osimer	100n	exp010821	run180821	4	Osimer_100n	False	False
Tramet1_030n_exp010821_run180821_11	Tramet1	Tramet	030n	exp010821	run180821	1	Tramet_030n	False	False
Tramet2_030n_exp010821_run180821_12	Tramet2	Tramet	030n	exp010821	run180821	2	Tramet_030n	False	False
Tramet3_030n_exp010821_run180821_13	Tramet3	Tramet	030n	exp010821	run180821	3	Tramet_030n	False	False
Tramet4_030n_exp010821_run180821_14	Tramet4	Tramet	030n	exp010821	run180821	4	Tramet_030n	False	False
Pemetr1_100n_exp010821_run180821_15	Pemetr1	Pemetr	100n	exp010821	run180821	1	Pemetr_100n	False	False
Pemetr2_100n_exp010821_run180821_16	Pemetr2	Pemetr	100n	exp010821	run180821	2	Pemetr_100n	False	False
Pemetr3_100n_exp010821_run180821_17	Pemetr3	Pemetr	100n	exp010821	run180821	3	Pemetr_100n	False	False
Pemetr4_100n_exp010821_run180821_18	Pemetr4	Pemetr	100n	exp010821	run180821	4	Pemetr_100n	False	False
X132711_005u_exp010821_run180821_19	X132711	X13271	005u	exp010821	run180821	1	X13271_005u	False	False
X132712_005u_exp010821_run180821_20	X132712	X13271	005u	exp010821	run180821	2	X13271_005u	False	False
X132713_005u_exp010821_run180821_21	X132713	X13271	005u	exp010821	run180821	3	X13271_005u	False	False
X132714_005u_exp010821_run180821_22	X132714	X13271	005u	exp010821	run180821	4	X13271_005u	False	False
Temps01_000u_exp040821_run180821_23	Temps01	Temps0	000u	exp040821	run180821	1	time0	False	True
Temps02_000u_exp040821_run180821_24	Temps02	Temps0	000u	exp040821	run180821	2	time0	False	True
Contro1_000u_exp040821_run180821_25	Contro1	Contro	000u	exp040821	run180821	1	control	True	False
Contro2_000u_exp040821_run180821_26	Contro2	Contro	000u	exp040821	run180821	2	control	True	False
Contro3_000u_exp040821_run180821_27	Contro3	Contro	000u	exp040821	run180821	3	control	True	False
Contro4_000u_exp040821_run180821_28	Contro4	Contro	000u	exp040821	run180821	4	control	True	False
Osimer1_100n_exp040821_run180821_29	Osimer1	Osimer	100n	exp040821	run180821	1	Osimer_100n	False	False
Osimer2_100n_exp040821_run180821_30	Osimer2	Osimer	100n	exp040821	run180821	2	Osimer_100n	False	False
Osimer3_100n_exp040821_run180821_31	Osimer3	Osimer	100n	exp040821	run180821	3	Osimer_100n	False	False
Osimer4_100n_exp040821_run180821_32	Osimer4	Osimer	100n	exp040821	run180821	4	Osimer_100n	False	False
Tramet1_030n_exp040821_run180821_33	Tramet1	Tramet	030n	exp040821	run180821	1	Tramet_030n	False	False
Tramet2_030n_exp040821_run180821_34	Tramet2	Tramet	030n	exp040821	run180821	2	Tramet_030n	False	False
Tramet3_030n_exp040821_run180821_35	Tramet3	Tramet	030n	exp040821	run180821	3	Tramet_030n	False	False
Tramet4_030n_exp040821_run180821_36	Tramet4	Tramet	030n	exp040821	run180821	4	Tramet_030n	False	False
Pemetr1_100n_exp040821_run180821_37	Pemetr1	Pemetr	100n	exp040821	run180821	1	Pemetr_100n	False	False
Pemetr2_100n_exp040821_run180821_38	Pemetr2	Pemetr	100n	exp040821	run180821	2	Pemetr_100n	False	False
Pemetr3_100n_exp040821_run180821_39	Pemetr3	Pemetr	100n	exp040821	run180821	3	Pemetr_100n	False	False
Pemetr4_100n_exp040821_run180821_40	Pemetr4	Pemetr	100n	exp040821	run180821	4	Pemetr_100n	False	False
X132711_005u_exp040821_run180821_41	X132711	X13271	005u	exp040821	run180821	1	X13271_005u	False	False
X132712_005u_exp040821_run180821_42	X132712	X13271	005u	exp040821	run180821	2	X13271_005u	False	False
X132713_005u_exp040821_run180821_43	X132713	X13271	005u	exp040821	run180821	3	X13271_005u	False	False
X132714_005u_exp040821_run180821_44	X132714	X13271	005u	exp040821	run180821	4	X13271_005u	False	False
Contro1_000u_exp300821_run290921_01	Contro1	Contro	000u	exp300821	run290921	1	control	True	False
Contro2_000u_exp300821_run290921_02	Contro2	Contro	000u	exp300821	run290921	2	control	True	False
Contro3_000u_exp300821_run290921_03	Contro3	Contro	000u	exp300821	run290921	3	control	True	False
Contro4_000u_exp300821_run290921_04	Contro4	Contro	000u	exp300821	run290921	4	control	True	False
Osimer1_100n_exp300821_run290921_05	Osimer1	Osimer	100n	exp300821	run290921	1	Osimer_100n	False	False
Osimer2_100n_exp300821_run290921_06	Osimer2	Osimer	100n	exp300821	run290921	2	Osimer_100n	False	False
Osimer3_100n_exp300821_run290921_07	Osimer3	Osimer	100n	exp300821	run290921	3	Osimer_100n	False	False
Osimer4_100n_exp300821_run290921_08	Osimer4	Osimer	100n	exp300821	run290921	4	Osimer_100n	False	False
OsiSor1_015u_exp300821_run290921_09	OsiSor1	OsiSor	015u	exp300821	run290921	1	OsiSor_015u	False	False
OsiSor2_015u_exp300821_run290921_10	OsiSor2	OsiSor	015u	exp300821	run290921	2	OsiSor_015u	False	False
OsiSor3_015u_exp300821_run290921_11	OsiSor3	OsiSor	015u	exp300821	run290921	3	OsiSor_015u	False	False
OsiSor4_015u_exp300821_run290921_12	OsiSor4	OsiSor	015u	exp300821	run290921	4	OsiSor_015u	False	False
Gefiti1_002u_exp300821_run290921_13	Gefiti1	Gefiti	002u	exp300821	run290921	1	Gefiti_002u	False	False
Gefiti2_002u_exp300821_run290921_14	Gefiti2	Gefiti	002u	exp300821	run290921	2	Gefiti_002u	False	False
Gefiti3_002u_exp300821_run290921_15	Gefiti3	Gefiti	002u	exp300821	run290921	3	Gefiti_002u	False	False
Gefiti4_002u_exp300821_run290921_16	Gefiti4	Gefiti	002u	exp300821	run290921	4	Gefiti_002u	False	False
Cispla1_250n_exp300821_run290921_17	Cispla1	Cispla	250n	exp300821	run290921	1	Cispla_250n	False	False
Cispla2_250n_exp300821_run290921_18	Cispla2	Cispla	250n	exp300821	run290921	2	Cispla_250n	False	False
Cispla3_250n_exp300821_run290921_19	Cispla3	Cispla	250n	exp300821	run290921	3	Cispla_250n	False	False
Cispla4_250n_exp300821_run290921_20	Cispla4	Cispla	250n	exp300821	run290921	4	Cispla_250n	False	False
Navito1_006u_exp300821_run290921_21	Navito1	Navito	006u	exp300821	run290921	1	Navito_006u	False	False
Navito2_006u_exp300821_run290921_22	Navito2	Navito	006u	exp300821	run290921	2	Navito_006u	False	False
Navito3_006u_exp300821_run290921_23	Navito3	Navito	006u	exp300821	run290921	3	Navito_006u	False	False
Navito4_006u_exp300821_run290921_24	Navito4	Navito	006u	exp300821	run290921	4	Navito_006u	False	False
CCT1961_001u_exp300821_run290921_25	CCT1961	CCT196	001u	exp300821	run290921	1	CCT196_001u	False	False
CCT1962_001u_exp300821_run290921_26	CCT1962	CCT196	001u	exp300821	run290921	2	CCT196_001u	False	False
CCT1963_001u_exp300821_run290921_27	CCT1963	CCT196	001u	exp300821	run290921	3	CCT196_001u	False	False
CCT1964_001u_exp300821_run290921_28	CCT1964	CCT196	001u	exp300821	run290921	4	CCT196_001u	False	False
Sorafe1_005u_exp300821_run290921_29	Sorafe1	Sorafe	005u	exp300821	run290921	1	Sorafe_005u	False	False
Sorafe2_005u_exp300821_run290921_30	Sorafe2	Sorafe	005u	exp300821	run290921	2	Sorafe_005u	False	False
Sorafe3_005u_exp300821_run290921_31	Sorafe3	Sorafe	005u	exp300821	run290921	3	Sorafe_005u	False	False
Contro1_000u_exp130921_run290921_32	Contro1	Contro	000u	exp130921	run290921	1	control	True	False
Contro2_000u_exp130921_run290921_33	Contro2	Contro	000u	exp130921	run290921	2	control	True	False
Contro3_000u_exp130921_run290921_34	Contro3	Contro	000u	exp130921	run290921	3	control	True	False
Contro4_000u_exp130921_run290921_35	Contro4	Contro	000u	exp130921	run290921	4	control	True	False
LY30091_003u_exp130921_run290921_36	LY30091	LY3009	003u	exp130921	run290921	1	LY3009_003u	False	False
LY30092_003u_exp130921_run290921_37	LY30092	LY3009	003u	exp130921	run290921	2	LY3009_003u	False	False
LY30093_003u_exp130921_run290921_38	LY30093	LY3009	003u	exp130921	run290921	3	LY3009_003u	False	False
LY30094_003u_exp130921_run290921_39	LY30094	LY3009	003u	exp130921	run290921	4	LY3009_003u	False	False
Azacyt1_1,5u_exp130921_run290921_40	Azacyt1	Azacyt	1,5u	exp130921	run290921	1	Azacyt_1,5u	False	False
Azacyt2_1,5u_exp130921_run290921_41	Azacyt2	Azacyt	1,5u	exp130921	run290921	2	Azacyt_1,5u	False	False
Azacyt3_1,5u_exp130921_run290921_42	Azacyt3	Azacyt	1,5u	exp130921	run290921	3	Azacyt_1,5u	False	False
Azacyt4_1,5u_exp130921_run290921_43	Azacyt4	Azacyt	1,5u	exp130921	run290921	4	Azacyt_1,5u	False	False
Vorino1_002u_exp130921_run290921_44	Vorino1	Vorino	002u	exp130921	run290921	1	Vorino_002u	False	False
Vorino2_002u_exp130921_run290921_45	Vorino2	Vorino	002u	exp130921	run290921	2	Vorino_002u	False	False
Vorino3_002u_exp130921_run290921_46	Vorino3	Vorino	002u	exp130921	run290921	3	Vorino_002u	False	False
Vorino4_002u_exp130921_run290921_47	Vorino4	Vorino	002u	exp130921	run290921	4	Vorino_002u	False	False
Temps01_000u_exp130921_run290921_48	Temps01	Temps0	000u	exp130921	run290921	1	time0	False	True
Napabu1_001u_exp130921_run111021_01	Napabu1	Napabu	001u	exp130921	run111021	1	Napabu_001u	False	False
Napabu2_001u_exp130921_run111021_02	Napabu2	Napabu	001u	exp130921	run111021	2	Napabu_001u	False	False
Napabu3_001u_exp130921_run111021_03	Napabu3	Napabu	001u	exp130921	run111021	3	Napabu_001u	False	False
Napabu4_001u_exp130921_run111021_04	Napabu4	Napabu	001u	exp130921	run111021	4	Napabu_001u	False	False
AZD1481_005u_exp130921_run111021_05	AZD1481	AZD148	005u	exp130921	run111021	1	AZD148_005u	False	False
AZD1482_005u_exp130921_run111021_06	AZD1482	AZD148	005u	exp130921	run111021	2	AZD148_005u	False	False
AZD1483_005u_exp130921_run111021_07	AZD1483	AZD148	005u	exp130921	run111021	3	AZD148_005u	False	False
AZD1484_005u_exp130921_run111021_08	AZD1484	AZD148	005u	exp130921	run111021	4	AZD148_005u	False	False
Contro1_000u_exp200921_run111021_09	Contro1	Contro	000u	exp200921	run111021	1	control	True	False
Contro2_000u_exp200921_run111021_10	Contro2	Contro	000u	exp200921	run111021	2	control	True	False
Contro3_000u_exp200921_run111021_11	Contro3	Contro	000u	exp200921	run111021	3	control	True	False
Contro4_000u_exp200921_run111021_12	Contro4	Contro	000u	exp200921	run111021	4	control	True	False
X132711_008u_exp200921_run111021_13	X132711	X13271	008u	exp200921	run111021	1	X13271_008u	False	False
X132712_008u_exp200921_run111021_14	X132712	X13271	008u	exp200921	run111021	2	X13271_008u	False	False
X132713_008u_exp200921_run111021_15	X132713	X13271	008u	exp200921	run111021	3	X13271_008u	False	False
X132714_008u_exp200921_run111021_16	X132714	X13271	008u	exp200921	run111021	4	X13271_008u	False	False
Compou1_008u_exp200921_run111021_17	Compou1	Compou	008u	exp200921	run111021	1	Compou_008u	False	False
Compou2_008u_exp200921_run111021_18	Compou2	Compou	008u	exp200921	run111021	2	Compou_008u	False	False
Compou3_008u_exp200921_run111021_19	Compou3	Compou	008u	exp200921	run111021	3	Compou_008u	False	False
Compou4_008u_exp200921_run111021_20	Compou4	Compou	008u	exp200921	run111021	4	Compou_008u	False	False
LIMKi31_030u_exp200921_run111021_21	LIMKi31	LIMKi3	030u	exp200921	run111021	1	LIMKi3_030u	False	False
LIMKi32_030u_exp200921_run111021_22	LIMKi32	LIMKi3	030u	exp200921	run111021	2	LIMKi3_030u	False	False
LIMKi33_030u_exp200921_run111021_23	LIMKi33	LIMKi3	030u	exp200921	run111021	3	LIMKi3_030u	False	False
LIMKi34_030u_exp200921_run111021_24	LIMKi34	LIMKi3	030u	exp200921	run111021	4	LIMKi3_030u	False	False
Bortez1_020n_exp200921_run111021_25	Bortez1	Bortez	020n	exp200921	run111021	1	Bortez_020n	False	False
Bortez2_020n_exp200921_run111021_26	Bortez2	Bortez	020n	exp200921	run111021	2	Bortez_020n	False	False
Bortez3_020n_exp200921_run111021_27	Bortez3	Bortez	020n	exp200921	run111021	3	Bortez_020n	False	False
Bortez4_020n_exp200921_run111021_28	Bortez4	Bortez	020n	exp200921	run111021	4	Bortez_020n	False	False
Palboc1_010u_exp200921_run111021_29	Palboc1	Palboc	010u	exp200921	run111021	1	Palboc_010u	False	False
Palboc2_010u_exp200921_run111021_30	Palboc2	Palboc	010u	exp200921	run111021	2	Palboc_010u	False	False
Palboc3_010u_exp200921_run111021_31	Palboc3	Palboc	010u	exp200921	run111021	3	Palboc_010u	False	False
Palboc4_010u_exp200921_run111021_32	Palboc4	Palboc	010u	exp200921	run111021	4	Palboc_010u	False	False
Olapar1_020u_exp200921_run111021_33	Olapar1	Olapar	020u	exp200921	run111021	1	Olapar_020u	False	False
Olapar2_020u_exp200921_run111021_34	Olapar2	Olapar	020u	exp200921	run111021	2	Olapar_020u	False	False
Olapar3_020u_exp200921_run111021_35	Olapar3	Olapar	020u	exp200921	run111021	3	Olapar_020u	False	False
Olapar4_020u_exp200921_run111021_36	Olapar4	Olapar	020u	exp200921	run111021	4	Olapar_020u	False	False
LGK9741_005u_exp200921_run111021_37	LGK9741	LGK974	005u	exp200921	run111021	1	LGK974_005u	False	False
LGK9742_005u_exp200921_run111021_38	LGK9742	LGK974	005u	exp200921	run111021	2	LGK974_005u	False	False
LGK9743_005u_exp200921_run111021_39	LGK9743	LGK974	005u	exp200921	run111021	3	LGK974_005u	False	False
LGK9744_005u_exp200921_run111021_40	LGK9744	LGK974	005u	exp200921	run111021	4	LGK974_005u	False	False
Chloro1_040u_exp200921_run111021_41	Chloro1	Chloro	040u	exp200921	run111021	1	Chloro_040u	False	False
Chloro2_040u_exp200921_run111021_42	Chloro2	Chloro	040u	exp200921	run111021	2	Chloro_040u	False	False
Chloro3_040u_exp200921_run111021_43	Chloro3	Chloro	040u	exp200921	run111021	3	Chloro_040u	False	False
Chloro4_040u_exp200921_run111021_44	Chloro4	Chloro	040u	exp200921	run111021	4	Chloro_040u	False	False
Bafilo1_1,2n_exp200921_run111021_45	Bafilo1	Bafilo	1,2n	exp200921	run111021	1	Bafilo_1,2n	False	False
Bafilo2_1,2n_exp200921_run111021_46	Bafilo2	Bafilo	1,2n	exp200921	run111021	2	Bafilo_1,2n	False	False
Bafilo3_1,2n_exp200921_run111021_47	Bafilo3	Bafilo	1,2n	exp200921	run111021	3	Bafilo_1,2n	False	False
Bafilo4_1,2n_exp200921_run111021_48	Bafilo4	Bafilo	1,2n	exp200921	run111021	4	Bafilo_1,2n	False	False
Temps01_000u_exp200921_run101121_01	Temps01	Temps0	000u	exp200921	run101121	1	time0	False	True
Temps02_000u_exp200921_run101121_02	Temps02	Temps0	000u	exp200921	run101121	2	time0	False	True
Osimer1_020n_exp200921_run101121_03	Osimer1	Osimer	020n	exp200921	run101121	1	Osimer_020n	False	False
Osimer2_020n_exp200921_run101121_04	Osimer2	Osimer	020n	exp200921	run101121	2	Osimer_020n	False	False
Osimer3_020n_exp200921_run101121_05	Osimer3	Osimer	020n	exp200921	run101121	3	Osimer_020n	False	False
Osimer4_020n_exp200921_run101121_06	Osimer4	Osimer	020n	exp200921	run101121	4	Osimer_020n	False	False
Osimer1_100n_exp200921_run101121_07	Osimer1	Osimer	100n	exp200921	run101121	1	Osimer_100n	False	False
Osimer2_100n_exp200921_run101121_08	Osimer2	Osimer	100n	exp200921	run101121	2	Osimer_100n	False	False
Osimer3_100n_exp200921_run101121_09	Osimer3	Osimer	100n	exp200921	run101121	3	Osimer_100n	False	False
Osimer4_100n_exp200921_run101121_10	Osimer4	Osimer	100n	exp200921	run101121	4	Osimer_100n	False	False
Osimer1_001u_exp200921_run101121_11	Osimer1	Osimer	001u	exp200921	run101121	1	Osimer_001u	False	False
Osimer2_001u_exp200921_run101121_12	Osimer2	Osimer	001u	exp200921	run101121	2	Osimer_001u	False	False
Osimer3_001u_exp200921_run101121_13	Osimer3	Osimer	001u	exp200921	run101121	3	Osimer_001u	False	False
Osimer4_001u_exp200921_run101121_14	Osimer4	Osimer	001u	exp200921	run101121	4	Osimer_001u	False	False
Osimer1_005u_exp200921_run101121_15	Osimer1	Osimer	005u	exp200921	run101121	1	Osimer_005u	False	False
Osimer2_005u_exp200921_run101121_16	Osimer2	Osimer	005u	exp200921	run101121	2	Osimer_005u	False	False
Osimer3_005u_exp200921_run101121_17	Osimer3	Osimer	005u	exp200921	run101121	3	Osimer_005u	False	False
Osimer4_005u_exp200921_run101121_18	Osimer4	Osimer	005u	exp200921	run101121	4	Osimer_005u	False	False
Temps01_000u_exp130921_run101121_19	Temps01	Temps0	000u	exp130921	run101121	1	time0	False	True
CtrlMs1_000u_exp130921_run101121_20	CtrlMs1	CtrlMs	000u	exp130921	run101121	1	CtrlMs_000u	False	False
CtrlMs2_000u_exp130921_run101121_21	CtrlMs2	CtrlMs	000u	exp130921	run101121	2	CtrlMs_000u	False	False
CtrlMs3_000u_exp130921_run101121_22	CtrlMs3	CtrlMs	000u	exp130921	run101121	3	CtrlMs_000u	False	False
CtrlMs4_000u_exp130921_run101121_23	CtrlMs4	CtrlMs	000u	exp130921	run101121	4	CtrlMs_000u	False	False
CtrlMs5_000u_exp130921_run101121_24	CtrlMs5	CtrlMs	000u	exp130921	run101121	5	CtrlMs_000u	False	False
CtrlMs6_000u_exp130921_run101121_25	CtrlMs6	CtrlMs	000u	exp130921	run101121	6	CtrlMs_000u	False	False
CtrlMs7_000u_exp130921_run101121_26	CtrlMs7	CtrlMs	000u	exp130921	run101121	7	CtrlMs_000u	False	False
CtrlMs8_000u_exp130921_run101121_27	CtrlMs8	CtrlMs	000u	exp130921	run101121	8	CtrlMs_000u	False	False
Osimer1_001g_exp130921_run101121_28	Osimer1	Osimer	001g	exp130921	run101121	1	Osimer_001g	False	False
Osimer2_001g_exp130921_run101121_29	Osimer2	Osimer	001g	exp130921	run101121	2	Osimer_001g	False	False
Osimer3_001g_exp130921_run101121_30	Osimer3	Osimer	001g	exp130921	run101121	3	Osimer_001g	False	False
Osimer4_001g_exp130921_run101121_31	Osimer4	Osimer	001g	exp130921	run101121	4	Osimer_001g	False	False
Osimer5_001g_exp130921_run101121_32	Osimer5	Osimer	001g	exp130921	run101121	5	Osimer_001g	False	False
Osimer6_001g_exp130921_run101121_33	Osimer6	Osimer	001g	exp130921	run101121	6	Osimer_001g	False	False
