sample	drug_raw	drug	dose	exp	run	replicate	condition	is_control	is_timezero
Crizot3_002u_exp271221_run140122_15	Crizot3	Crizot	002u	exp271221	run140122	3	Crizot_002u	False	False
Crizot4_002u_exp271221_run140122_16	Crizot4	Crizot	002u	exp271221	run140122	4	Crizot_002u	False	False
TAE6841_001u_exp271221_run140122_17	TAE6841	TAE684	001u	exp271221	run140122	1	TAE684_001u	False	False
TAE6842_001u_exp271221_run140122_18	TAE6842	TAE684	001u	exp271221	run140122	2	TAE684_001u	False	False
TAE6843_001u_exp271221_run140122_19	TAE6843	TAE684	001u	exp271221	run140122	3	TAE684_001u	False	False
TAE6844_001u_exp271221_run140122_20	TAE6844	TAE684	001u	exp271221	run140122	4	TAE684_001u	False	False
Suniti1_015u_exp271221_run140122_21	Suniti1	Suniti	015u	exp271221	run140122	1	Suniti_015u	False	False
Suniti2_015u_exp271221_run140122_22	Suniti2	Suniti	015u	exp271221	run140122	2	Suniti_015u	False	False
Suniti3_015u_exp271221_run140122_23	Suniti3	Suniti	015u	exp271221	run140122	3	Suniti_015u	False	False
Suniti4_015u_exp271221_run140122_24	Suniti4	Suniti	015u	exp271221	run140122	4	Suniti_015u	False	False
Plurip1_010u_exp271221_run140122_25	Plurip1	Plurip	010u	exp271221	run140122	1	Plurip_010u	False	False
Plurip2_010u_exp271221_run140122_26	Plurip2	Plurip	010u	exp271221	run140122	2	Plurip_010u	False	False
Plurip3_010u_exp271221_run140122_27	Plurip3	Plurip	010u	exp271221	run140122	3	Plurip_010u	False	False
Plurip4_010u_exp271221_run140122_28	Plurip4	Plurip	010u	exp271221	run140122	4	Plurip_010u	False	False
S638451_010u_exp271221_run140122_29	S638451	S63845	010u	exp271221	run140122	1	S63845_010u	False	False
S638452_010u_exp271221_run140122_30	S638452	S63845	010u	exp271221	run140122	2	S63845_010u	False	False
S638453_010u_exp271221_run140122_31	S638453	S63845	010u	exp271221	run140122	3	S63845_010u	False	False
S638454_010u_exp271221_run140122_32	S638454	S63845	010u	exp271221	run140122	4	S63845_010u	False	False
Trimet1_600u_exp271221_run140122_33	Trimet1	Trimet	600u	exp271221	run140122	1	Trimet_600u	False	False
Trimet2_600u_exp271221_run140122_34	Trimet2	Trimet	600u	exp271221	run140122	2	Trimet_600u	False	False
Trimet3_600u_exp271221_run140122_35	Trimet3	Trimet	600u	exp271221	run140122	3	Trimet_600u	False	False
Trimet4_600u_exp271221_run140122_36	Trimet4	Trimet	600u	exp271221	run140122	4	Trimet_600u	False	False
NAcety1_015m_exp271221_run140122_37	NAcety1	NAcety	015m	exp271221	run140122	1	NAcety_015m	False	False
NAcety2_015m_exp271221_run140122_38	NAcety2	NAcety	015m	exp271221	run140122	2	NAcety_015m	False	False
NAcety3_015m_exp271221_run140122_39	NAcety3	NAcety	015m	exp271221	run140122	3	NAcety_015m	False	False
NAcety4_015m_exp271221_run140122_40	NAcety4	NAcety	015m	exp271221	run140122	4	NAcety_015m	False	False
Nutlin1_025u_exp271221_run140122_41	Nutlin1	Nutlin	025u	exp271221	run140122	1	Nutlin_025u	False	False
Nutlin2_025u_exp271221_run140122_42	Nutlin2	Nutlin	025u	exp271221	run140122	2	Nutlin_025u	False	False
Nutlin3_025u_exp271221_run140122_43	Nutlin3	Nutlin	025u	exp271221	run140122	3	Nutlin_025u	False	False
Nutlin4_025u_exp271221_run140122_44	Nutlin4	Nutlin	025u	exp271221	run140122	4	Nutlin_025u	False	False
Ibudil1_400u_exp271221_run140122_45	Ibudil1	Ibudil	400u	exp271221	run140122	1	Ibudil_400u	False	False
Ibudil2_400u_exp271221_run140122_46	Ibudil2	Ibudil	400u	exp271221	run140122	2	Ibudil_400u	False	False
Ibudil3_400u_exp271221_run140122_47	Ibudil3	Ibudil	400u	exp271221	run140122	3	Ibudil_400u	False	False
Ibudil4_400u_exp271221_run140122_48	Ibudil4	Ibudil	400u	exp271221	run140122	4	Ibudil_400u	False	False
Contro1_000u_exp070222_run010322_01	Contro1	Contro	000u	exp070222	run010322	1	control	True	False
Contro2_000u_exp070222_run010322_02	Contro2	Contro	000u	exp070222	run010322	2	control	True	False
Contro3_000u_exp070222_run010322_03	Contro3	Contro	000u	exp070222	run010322	3	control	True	False
Contro4_000u_exp070222_run010322_04	Contro4	Contro	000u	exp070222	run010322	4	control	True	False
Tunica1_0,5x_exp070222_run010322_05	Tunica1	Tunica	0,5x	exp070222	run010322	1	Tunica_0,5x	False	False
Tunica2_0,5x_exp070222_run010322_06	Tunica2	Tunica	0,5x	exp070222	run010322	2	Tunica_0,5x	False	False
Tunica3_0,5x_exp070222_run010322_07	Tunica3	Tunica	0,5x	exp070222	run010322	3	Tunica_0,5x	False	False
Tunica4_0,5x_exp070222_run010322_08	Tunica4	Tunica	0,5x	exp070222	run010322	4	Tunica_0,5x	False	False
Thapsi1_008n_exp070222_run010322_09	Thapsi1	Thapsi	008n	exp070222	run010322	1	Thapsi_008n	False	False
Thapsi2_008n_exp070222_run010322_10	Thapsi2	Thapsi	008n	exp070222	run010322	2	Thapsi_008n	False	False
Thapsi3_008n_exp070222_run010322_11	Thapsi3	Thapsi	008n	exp070222	run010322	3	Thapsi_008n	False	False
Thapsi4_008n_exp070222_run010322_12	Thapsi4	Thapsi	008n	exp070222	run010322	4	Thapsi_008n	False	False
Erasti1_015u_exp070222_run010322_13	Erasti1	Erasti	015u	exp070222	run010322	1	Erasti_015u	False	False
Erasti2_015u_exp070222_run010322_14	Erasti2	Erasti	015u	exp070222	run010322	2	Erasti_015u	False	False
Erasti3_015u_exp070222_run010322_15	Erasti3	Erasti	015u	exp070222	run010322	3	Erasti_015u	False	False
Erasti4_015u_exp070222_run010322_16	Erasti4	Erasti	015u	exp070222	run010322	4	Erasti_015u	False	False
Ferros1_060u_exp070222_run010322_17	Ferros1	Ferros	060u	exp070222	run010322	1	Ferros_060u	False	False
Ferros2_060u_exp070222_run010322_18	Ferros2	Ferros	060u	exp070222	run010322	2	Ferros_060u	False	False
Ferros3_060u_exp070222_run010322_19	Ferros3	Ferros	060u	exp070222	run010322	3	Ferros_060u	False	False
Ferros4_060u_exp070222_run010322_20	Ferros4	Ferros	060u	exp070222	run010322	4	Ferros_060u	False	False
Defero1_007u_exp070222_run010322_21	Defero1	Defero	007u	exp070222	run010322	1	Defero_007u	False	False
Defero2_007u_exp070222_run010322_22	Defero2	Defero	007u	exp070222	run010322	2	Defero_007u	False	False
Defero3_007u_exp070222_run010322_23	Defero3	Defero	007u	exp070222	run010322	3	Defero_007u	False	False
Defero4_007u_exp070222_run010322_24	Defero4	Defero	007u	exp070222	run010322	4	Defero_007u	False	False
ML210-1_030u_exp070222_run010322_25	ML210-1	ML210-	030u	exp070222	run010322	1	ML210-_030u	False	False
ML210-2_030u_exp070222_run010322_26	ML210-2	ML210-	030u	exp070222	run010322	2	ML210-_030u	False	False
ML210-3_030u_exp070222_run010322_27	ML210-3	ML210-	030u	exp070222	run010322	3	ML210-_030u	False	False
ML210-4_030u_exp070222_run010322_28	ML210-4	ML210-	030u	exp070222	run010322	4	ML210-_030u	False	False
IMR1-1_080u_exp070222_run010322_29	IMR1-1	IMR1-	080u	exp070222	run010322	1	IMR1-_080u	False	False
IMR1-2_080u_exp070222_run010322_30	IMR1-2	IMR1-	080u	exp070222	run010322	2	IMR1-_080u	False	False
IMR1-3_080u_exp070222_run010322_31	IMR1-3	IMR1-	080u	exp070222	run010322	3	IMR1-_080u	False	False
IMR1-4_080u_exp070222_run010322_32	IMR1-4	IMR1-	080u	exp070222	run010322	4	IMR1-_080u	False	False
Lazert1_001u_exp070222_run010322_33	Lazert1	Lazert	001u	exp070222	run010322	1	Lazert_001u	False	False
Lazert2_001u_exp070222_run010322_34	Lazert2	Lazert	001u	exp070222	run010322	2	Lazert_001u	False	False
Lazert3_001u_exp070222_run010322_35	Lazert3	Lazert	001u	exp070222	run010322	3	Lazert_001u	False	False
Lazert4_001u_exp070222_run010322_36	Lazert4	Lazert	001u	exp070222	run010322	4	Lazert_001u	False	False
Rocile1_001u_exp070222_run010322_37	Rocile1	Rocile	001u	exp070222	run010322	1	Rocile_001u	False	False
Rocile2_001u_exp070222_run010322_38	Rocile2	Rocile	001u	exp070222	run010322	2	Rocile_001u	False	False
Rocile3_001u_exp070222_run010322_39	Rocile3	Rocile	001u	exp070222	run010322	3	Rocile_001u	False	False
Rocile4_001u_exp070222_run010322_40	Rocile4	Rocile	001u	exp070222	run010322	4	Rocile_001u	False	False
Mavele1_001u_exp070222_run010322_41	Mavele1	Mavele	001u	exp070222	run010322	1	Mavele_001u	False	False
Mavele2_001u_exp070222_run010322_42	Mavele2	Mavele	001u	exp070222	run010322	2	Mavele_001u	False	False
Mavele3_001u_exp070222_run010322_43	Mavele3	Mavele	001u	exp070222	run010322	3	Mavele_001u	False	False
Mavele4_001u_exp070222_run010322_44	Mavele4	Mavele	001u	exp070222	run010322	4	Mavele_001u	False	False
Temps01_000u_exp070222_run010322_45	Temps01	Temps0	000u	exp070222	run010322	1	time0	False	True
Temps02_000u_exp070222_run010322_46	Temps02	Temps0	000u	exp070222	run010322	2	time0	False	True
Vemura1_007u_exp070222_run060522_01	Vemura1	Vemura	007u	exp070222	run060522	1	Vemura_007u	False	False
Vemura2_007u_exp070222_run060522_02	Vemura2	Vemura	007u	exp070222	run060522	2	Vemura_007u	False	False
Vemura3_007u_exp070222_run060522_03	Vemura3	Vemura	007u	exp070222	run060522	3	Vemura_007u	False	False
Vemura4_007u_exp070222_run060522_04	Vemura4	Vemura	007u	exp070222	run060522	4	Vemura_007u	False	False
5Fluor1_006u_exp070222_run060522_05	5Fluor1	5Fluor	006u	exp070222	run060522	1	5Fluor_006u	False	False
5Fluor2_006u_exp070222_run060522_06	5Fluor2	5Fluor	006u	exp070222	run060522	2	5Fluor_006u	False	False
5Fluor3_006u_exp070222_run060522_07	5Fluor3	5Fluor	006u	exp070222	run060522	3	5Fluor_006u	False	False
5Fluor4_006u_exp070222_run060522_08	5Fluor4	5Fluor	006u	exp070222	run060522	4	5Fluor_006u	False	False
Oxalip1_005u_exp070222_run060522_09	Oxalip1	Oxalip	005u	exp070222	run060522	1	Oxalip_005u	False	False
Oxalip2_005u_exp070222_run060522_10	Oxalip2	Oxalip	005u	exp070222	run060522	2	Oxalip_005u	False	False
Oxalip3_005u_exp070222_run060522_11	Oxalip3	Oxalip	005u	exp070222	run060522	3	Oxalip_005u	False	False
Oxalip4_005u_exp070222_run060522_12	Oxalip4	Oxalip	005u	exp070222	run060522	4	Oxalip_005u	False	False
Carbop1_007u_exp070222_run060522_13	Carbop1	Carbop	007u	exp070222	run060522	1	Carbop_007u	False	False
Carbop2_007u_exp070222_run060522_14	Carbop2	Carbop	007u	exp070222	run060522	2	Carbop_007u	False	False
Carbop3_007u_exp070222_run060522_15	Carbop3	Carbop	007u	exp070222	run060522	3	Carbop_007u	False	False
Carbop4_007u_exp070222_run060522_16	Carbop4	Carbop	007u	exp070222	run060522	4	Carbop_007u	False	False
Nigeri1_100n_exp070222_run060522_17	Nigeri1	Nigeri	100n	exp070222	run060522	1	Nigeri_100n	False	False
Nigeri2_100n_exp070222_run060522_18	Nigeri2	Nigeri	100n	exp070222	run060522	2	Nigeri_100n	False	False
Nigeri3_100n_exp070222_run060522_19	Nigeri3	Nigeri	100n	exp070222	run060522	3	Nigeri_100n	False	False
Nigeri4_100n_exp070222_run060522_20	Nigeri4	Nigeri	100n	exp070222	run060522	4	Nigeri_100n	False	False
Y276321_300u_exp070222_run060522_21	Y276321	Y27632	300u	exp070222	run060522	1	Y27632_300u	False	False
Y276322_300u_exp070222_run060522_22	Y276322	Y27632	300u	exp070222	run060522	2	Y27632_300u	False	False
Y276323_300u_exp070222_run060522_23	Y276323	Y27632	300u	exp070222	run060522	3	Y27632_300u	False	False
Y276324_300u_exp070222_run060522_24	Y276324	Y27632	300u	exp070222	run060522	4	Y27632_300u	False	False
Contro1_000u_exp220322_run060522_25	Contro1	Contro	000u	exp220322	run060522	1	control	True	False
Contro2_000u_exp220322_run060522_26	Contro2	Contro	000u	exp220322	run060522	2	control	True	False
Contro3_000u_exp220322_run060522_27	Contro3	Contro	000u	exp220322	run060522	3	control	True	False
Contro4_000u_exp220322_run060522_28	Contro4	Contro	000u	exp220322	run060522	4	control	True	False
Pralat1_003n_exp220322_run060522_29	Pralat1	Pralat	003n	exp220322	run060522	1	Pralat_003n	False	False
Pralat2_003n_exp220322_run060522_30	Pralat2	Pralat	003n	exp220322	run060522	2	Pralat_003n	False	False
Pralat3_003n_exp220322_run060522_31	Pralat3	Pralat	003n	exp220322	run060522	3	Pralat_003n	False	False
Pralat4_003n_exp220322_run060522_32	Pralat4	Pralat	003n	exp220322	run060522	4	Pralat_003n	False	False
Methot1_040n_exp220322_run060522_33	Methot1	Methot	040n	exp220322	run060522	1	Methot_040n	False	False
Methot2_040n_exp220322_run060522_34	Methot2	Methot	040n	exp220322	run060522	2	Methot_040n	False	False
Methot3_040n_exp220322_run060522_35	Methot3	Methot	040n	exp220322	run060522	3	Methot_040n	False	False
Methot4_040n_exp220322_run060522_36	Methot4	Methot	040n	exp220322	run060522	4	Methot_040n	False	False
Paclit1_005n_exp220322_run060522_37	Paclit1	Paclit	005n	exp220322	run060522	1	Paclit_005n	False	False
Paclit2_005n_exp220322_run060522_38	Paclit2	Paclit	005n	exp220322	run060522	2	Paclit_005n	False	False
Paclit3_005n_exp220322_run060522_39	Paclit3	Paclit	005n	exp220322	run060522	3	Paclit_005n	False	False
Paclit4_005n_exp220322_run060522_40	Paclit4	Paclit	005n	exp220322	run060522	4	Paclit_005n	False	False
L755501_025u_exp220322_run060522_41	L755501	L75550	025u	exp220322	run060522	1	L75550_025u	False	False
L755502_025u_exp220322_run060522_42	L755502	L75550	025u	exp220322	run060522	2	L75550_025u	False	False
L755503_025u_exp220322_run060522_43	L755503	L75550	025u	exp220322	run060522	3	L75550_025u	False	False
L755504_025u_exp220322_run060522_44	L755504	L75550	025u	exp220322	run060522	4	L75550_025u	False	False
XAV9391_080u_exp220322_run060522_45	XAV9391	XAV939	080u	exp220322	run060522	1	XAV939_080u	False	False
XAV9392_080u_exp220322_run060522_46	XAV9392	XAV939	080u	exp220322	run060522	2	XAV939_080u	False	False
XAV9393_080u_exp220322_run060522_47	XAV9393	XAV939	080u	exp220322	run060522	3	XAV939_080u	False	False
XAV9394_080u_exp220322_run060522_48	XAV9394	XAV939	080u	exp220322	run060522	4	XAV939_080u	False	False
Aliser1_050n_exp220322_run200522_01	Aliser1	Aliser	050n	exp220322	run200522	1	Aliser_050n	False	False
Aliser2_050n_exp220322_run200522_02	Aliser2	Aliser	050n	exp220322	run200522	2	Aliser_050n	False	False
Aliser3_050n_exp220322_run200522_03	Aliser3	Aliser	050n	exp220322	run200522	3	Aliser_050n	False	False
Aliser4_050n_exp220322_run200522_04	Aliser4	Aliser	050n	exp220322	run200522	4	Aliser_050n	False	False
Saraca1_500n_exp220322_run200522_05	Saraca1	Saraca	500n	exp220322	run200522	1	Saraca_500n	False	False
Saraca2_500n_exp220322_run200522_06	Saraca2	Saraca	500n	exp220322	run200522	2	Saraca_500n	False	False
Saraca3_500n_exp220322_run200522_07	Saraca3	Saraca	500n	exp220322	run200522	3	Saraca_500n	False	False
Saraca4_500n_exp220322_run200522_08	Saraca4	Saraca	500n	exp220322	run200522	4	Saraca_500n	False	False
THZ11_090n_exp220322_run200522_09	THZ11	THZ1	090n	exp220322	run200522	1	THZ1_090n	False	False
THZ12_090n_exp220322_run200522_10	THZ12	THZ1	090n	exp220322	run200522	2	THZ1_090n	False	False
THZ13_090n_exp220322_run200522_11	THZ13	THZ1	090n	exp220322	run200522	3	THZ1_090n	False	False
THZ14_090n_exp220322_run200522_12	THZ14	THZ1	090n	exp220322	run200522	4	THZ1_090n	False	False
BMS5361_002u_exp220322_run200522_13	BMS5361	BMS536	002u	exp220322	run200522	1	BMS536_002u	False	False
BMS5362_002u_exp220322_run200522_14	BMS5362	BMS536	002u	exp220322	run200522	2	BMS536_002u	False	False
BMS5363_002u_exp220322_run200522_15	BMS5363	BMS536	002u	exp220322	run200522	3	BMS536_002u	False	False
BMS5364_002u_exp220322_run200522_16	BMS5364	BMS536	002u	exp220322	run200522	4	BMS536_002u	False	False
JSH231_060u_exp220322_run200522_17	JSH231	JSH23	060u	exp220322	run200522	1	JSH23_060u	False	False
JSH232_060u_exp220322_run200522_18	JSH232	JSH23	060u	exp220322	run200522	2	JSH23_060u	False	False
JSH233_060u_exp220322_run200522_19	JSH233	JSH23	060u	exp220322	run200522	3	JSH23_060u	False	False
JSH234_060u_exp220322_run200522_20	JSH234	JSH23	060u	exp220322	run200522	4	JSH23_060u	False	False
AZD8181_050u_exp220322_run200522_21	AZD8181	AZD818	050u	exp220322	run200522	1	AZD818_050u	False	False
AZD8182_050u_exp220322_run200522_22	AZD8182	AZD818	050u	exp220322	run200522	2	AZD818_050u	False	False
AZD8183_050u_exp220322_run200522_23	AZD8183	AZD818	050u	exp220322	run200522	3	AZD818_050u	False	False
AZD8184_050u_exp220322_run200522_24	AZD8184	AZD818	050u	exp220322	run200522	4	AZD818_050u	False	False
Temsir1_006u_exp220322_run200522_25	Temsir1	Temsir	006u	exp220322	run200522	1	Temsir_006u	False	False
Temsir2_006u_exp220322_run200522_26	Temsir2	Temsir	006u	exp220322	run200522	2	Temsir_006u	False	False
Temsir3_006u_exp220322_run200522_27	Temsir3	Temsir	006u	exp220322	run200522	3	Temsir_006u	False	False
Temsir4_006u_exp220322_run200522_28	Temsir4	Temsir	006u	exp220322	run200522	4	Temsir_006u	False	False
CCT0201_003u_exp220322_run200522_29	CCT0201	CCT020	003u	exp220322	run200522	1	CCT020_003u	False	False
CCT0202_003u_exp220322_run200522_30	CCT0202	CCT020	003u	exp220322	run200522	2	CCT020_003u	False	False
CCT0203_003u_exp220322_run200522_31	CCT0203	CCT020	003u	exp220322	run200522	3	CCT020_003u	False	False
CCT0204_003u_exp220322_run200522_32	CCT0204	CCT020	003u	exp220322	run200522	4	CCT020_003u	False	False
Levofl1_250u_exp220322_run200522_33	Levofl1	Levofl	250u	exp220322	run200522	1	Levofl_250u	False	False
Levofl2_250u_exp220322_run200522_34	Levofl2	Levofl	250u	exp220322	run200522	2	Levofl_250u	False	False
Levofl3_250u_exp220322_run200522_35	Levofl3	Levofl	250u	exp220322	run200522	3	Levofl_250u	False	False
Levofl4_250u_exp220322_run200522_36	Levofl4	Levofl	250u	exp220322	run200522	4	Levofl_250u	False	False
Proben1_500u_exp220322_run200522_37	Proben1	Proben	500u	exp220322	run200522	1	Proben_500u	False	False
Proben2_500u_exp220322_run200522_38	Proben2	Proben	500u	exp220322	run200522	2	Proben_500u	False	False
Proben3_500u_exp220322_run200522_39	Proben3	Proben	500u	exp220322	run200522	3	Proben_500u	False	False
Proben4_500u_exp220322_run200522_40	Proben4	Proben	500u	exp220322	run200522	4	Proben_500u	False	False
Mefloq1_010u_exp220322_run200522_41	Mefloq1	Mefloq	010u	exp220322	run200522	1	Mefloq_010u	False	False
Mefloq2_010u_exp220322_run200522_42	Mefloq2	Mefloq	010u	exp220322	run200522	2	Mefloq_010u	False	False
Mefloq3_010u_exp220322_run200522_43	Mefloq3	Mefloq	010u	exp220322	run200522	3	Mefloq_010u	False	False
Mefloq4_010u_exp220322_run200522_44	Mefloq4	Mefloq	010u	exp220322	run200522	4	Mefloq_010u	False	False
Temps01_000u_exp220322_run200522_45	Temps01	Temps0	000u	exp220322	run200522	1	time0	False	True
Temps02_000u_exp220322_run200522_46	Temps02	Temps0	000u	exp220322	run200522	2	time0	False	True
